#284 bestips updated at 2026-08-23 06:00
2.27.24.35:443#DE 🇩🇪
2.27.109.144:443#HK 🇭🇰
3.1.51.17:443#SG 🇸🇬
3.173.198.167:443#US 🇺🇸
3.173.240.146:443#US 🇺🇸
3.175.80.19:443#US 🇺🇸
8.218.36.133:9010#HK 🇭🇰
8.219.154.217:8443#SG 🇸🇬
8.219.195.31:443#SG 🇸🇬
8.222.185.236:443#SG 🇸🇬
13.225.161.226:443#US 🇺🇸
13.248.215.36:443#US 🇺🇸
13.249.124.128:443#US 🇺🇸
14.52.210.173:12138#KR 🇰🇷
14.52.210.173:12312#KR 🇰🇷
18.161.234.133:443#US 🇺🇸
18.161.234.225:443#US 🇺🇸
23.94.56.22:443#US 🇺🇸
23.147.232.7:443#JP 🇯🇵
23.175.201.2:8443#HK 🇭🇰
27.50.48.59:2096#SG 🇸🇬
27.50.48.69:2083#SG 🇸🇬
27.50.48.142:2083#SG 🇸🇬
27.50.48.255:8443#SG 🇸🇬
31.57.172.215:443#JP 🇯🇵
38.207.184.97:443#HK 🇭🇰
38.207.185.35:443#HK 🇭🇰
43.129.217.38:443#HK 🇭🇰
43.132.231.159:443#HK 🇭🇰
43.161.236.173:8443#HK 🇭🇰
43.161.254.71:443#HK 🇭🇰
43.168.16.112:443#SG 🇸🇬
43.170.8.95:443#SG 🇸🇬
43.200.87.5:443#KR 🇰🇷
45.32.17.67:443#JP 🇯🇵
45.32.251.225:2053#JP 🇯🇵
45.38.42.198:2053#HK 🇭🇰
45.77.129.86:2053#JP 🇯🇵
45.89.232.185:443#JP 🇯🇵
45.158.127.48:443#US 🇺🇸
45.192.196.207:443#JP 🇯🇵
45.202.246.126:443#MO 🇲🇴
45.202.247.198:8443#MO 🇲🇴
45.221.115.92:2096#HK 🇭🇰
47.57.181.17:443#HK 🇭🇰
47.80.57.116:443#KR 🇰🇷
47.243.54.45:18080#HK 🇭🇰
49.238.238.150:2087#KR 🇰🇷
49.238.238.154:2053#KR 🇰🇷
49.238.238.156:2083#KR 🇰🇷
49.238.238.156:2096#KR 🇰🇷
52.84.150.52:443#US 🇺🇸
52.84.150.118:443#US 🇺🇸
52.84.150.122:443#US 🇺🇸
52.84.150.173:443#US 🇺🇸
52.84.150.175:443#US 🇺🇸
54.151.149.199:443#SG 🇸🇬
54.179.38.190:443#SG 🇸🇬
54.179.237.30:443#SG 🇸🇬
54.251.197.173:443#SG 🇸🇬
54.255.212.53:443#SG 🇸🇬
54.255.215.190:443#SG 🇸🇬
54.255.217.181:443#SG 🇸🇬
59.6.239.208:10202#KR 🇰🇷
59.19.111.228:10018#KR 🇰🇷
64.110.104.30:443#JP 🇯🇵
77.110.114.56:443#US 🇺🇸
78.105.183.11:8443#TW 🇹🇼
83.147.13.193:443#TW 🇹🇼
85.121.51.114:8443#HK 🇭🇰
85.121.51.219:443#HK 🇭🇰
85.237.207.126:443#TW 🇹🇼
91.110.174.169:8443#US 🇺🇸
91.110.174.173:8443#US 🇺🇸
91.110.174.201:8443#US 🇺🇸
91.110.174.222:8443#US 🇺🇸
91.110.182.10:443#US 🇺🇸
91.110.182.12:443#US 🇺🇸
